bigram,frequency,word1,word2,word1_freq,word2_freq
"('horizontal', 'the')",2.6473235558850002e-05,horizontal,the,0.00026472534745201854,0.09082726671078756
"('being', 'weigh')",2.6473235558850002e-05,being,weigh,0.004156187954996691,0.00042356055592322967
"('have', 'found')",2.6473235558850002e-05,have,found,0.0038649900727994705,0.0005823957643944407
"('almoſt', 'becauſe')",2.6473235558850002e-05,almoſt,becauſe,0.00042356055592322967,0.001985440105890139
"('events', 'he')",2.6473235558850002e-05,events,he,2.6472534745201854e-05,0.0015618795499669094
"('kept', 'parallel')",2.6473235558850002e-05,kept,parallel,0.0005559232296492389,0.0004500330906684315
"('explication', 'to')",2.6473235558850002e-05,explication,to,0.0004765056254136334,0.027743216412971543
"('does', 'riſe')",2.6473235558850002e-05,does,riſe,0.0006618133686300463,0.00026472534745201854
"('gently', 'raiſe')",5.2946471117700005e-05,gently,raiſe,0.0002382528127068167,0.0003970880211780278
"('aire', 'a')",5.2946471117700005e-05,aire,a,0.0024619457313037724,0.01842488418266049
"('be', 'contiguous')",2.6473235558850002e-05,be,contiguous,0.015380542686962276,0.0006882859033752482
"('aggregate', 'may')",2.6473235558850002e-05,aggregate,may,0.00013236267372600927,0.004262078093977498
"('what', 'they')",2.6473235558850002e-05,what,they,0.0018530774321641296,0.0017471872931833223
"('great', 'inequality')",2.6473235558850002e-05,great,inequality,0.0013500992720052946,0.00013236267372600927
"('eſpecially', 'from')",2.6473235558850002e-05,eſpecially,from,0.00010589013898080742,0.0033884844473858373
"('more', 'gravitate')",2.6473235558850002e-05,more,gravitate,0.0028590337524818,0.0005029781601588353
"('neceſſarily', 'ſinck')",7.941970667655001e-05,neceſſarily,ſinck,0.00037061548643282596,0.0006618133686300463
"('true', 'that')",7.941970667655001e-05,true,that,0.0003970880211780278,0.023957643944407678
"('are', 'held')",2.6473235558850002e-05,are,held,0.0019060225016545335,0.00029119788219722037
"('contiguous', 'bodies')",2.6473235558850002e-05,contiguous,bodies,0.0006882859033752482,0.0006088682991396426
"('alone', 'was')",2.6473235558850002e-05,alone,was,0.00042356055592322967,0.0038914626075446726
"('perſon', 'as')",2.6473235558850002e-05,perſon,as,2.6472534745201854e-05,0.013077432164129715
"('to', 'avoid')",0.00010589294223540001,to,avoid,0.027743216412971543,0.00013236267372600927
"('only', 'ſuch')",2.6473235558850002e-05,only,ſuch,0.0012177365982792851,0.0015618795499669094
"('dimovere', 'poteſt')",2.6473235558850002e-05,dimovere,poteſt,2.6472534745201854e-05,2.6472534745201854e-05
"('the', 'adjoyning')",7.941970667655001e-05,the,adjoyning,0.09082726671078756,7.941760423560556e-05
"('other', 'accidents')",2.6473235558850002e-05,other,accidents,0.004659166115155526,2.6472534745201854e-05
"('y', 'till')",2.6473235558850002e-05,y,till,0.00013236267372600927,0.001244209133024487
"('it', 'may')",0.0006353576534124001,it,may,0.02088682991396426,0.004262078093977498
"('indiſpos', 'd')",2.6473235558850002e-05,indiſpos,d,2.6472534745201854e-05,0.019642620780939774
"('brevities', 'ſake')",2.6473235558850002e-05,brevities,ſake,2.6472534745201854e-05,0.00010589013898080742
"('ſurmounts', 'an')",2.6473235558850002e-05,ſurmounts,an,2.6472534745201854e-05,0.0036796823295830576
"('beneath', 'its')",2.6473235558850002e-05,beneath,its,0.0010853739245532759,0.004235605559232297
"('any', 'ſide')",2.6473235558850002e-05,any,ſide,0.0022501654533421574,0.00029119788219722037
"('the', 'divers')",2.6473235558850002e-05,the,divers,0.09082726671078756,0.0005823957643944407
"('have', 'written')",2.6473235558850002e-05,have,written,0.0038649900727994705,7.941760423560556e-05
"('comparing', 'the')",2.6473235558850002e-05,comparing,the,7.941760423560556e-05,0.09082726671078756
"('heavier', 'we')",2.6473235558850002e-05,heavier,we,0.001270681667769689,0.005320979483785572
