bigram,frequency,word1,word2,word1_freq,word2_freq
"('be', 'lawful')",0.00013883104262113008,be,lawful,0.019988895058300944,0.000277623542476402
"('into', 'the')",0.0005553241704845203,into,the,0.00138811771238201,0.057884508606329814
"('connexion', 'betwixt')",0.00013883104262113008,connexion,betwixt,0.000138811771238201,0.000138811771238201
"('you', 'than')",0.0005553241704845203,you,than,0.001943364797334814,0.004719600222098834
"('of', 'reputed')",0.00013883104262113008,of,reputed,0.04094947251526929,0.000138811771238201
"('jubile', 'c')",0.00013883104262113008,jubile,c,0.000138811771238201,0.00277623542476402
"('goſpel', 'it')",0.00027766208524226016,goſpel,it,0.010410882842865074,0.02345918933925597
"('2', 'there')",0.00013883104262113008,2,there,0.003470294280955025,0.009439200444197668
"('lord', 'and')",0.00013883104262113008,lord,and,0.000694058856191005,0.04525263742365353
"('and', 'thus')",0.00027766208524226016,and,thus,0.04525263742365353,0.001110494169905608
"('indelible', 'blot')",0.00013883104262113008,indelible,blot,0.000138811771238201,0.000138811771238201
"('saviour', 'being')",0.00013883104262113008,saviour,being,0.001249305941143809,0.000555247084952804
"('come', 'from')",0.00013883104262113008,come,from,0.000832870627429206,0.006107717934480844
"('alter', 'or')",0.00013883104262113008,alter,or,0.001110494169905608,0.009994447529150472
"('a', 'true')",0.00041649312786339027,a,true,0.018184342032204332,0.001943364797334814
"('miſlead', 'perſons')",0.00013883104262113008,miſlead,perſons,0.000138811771238201,0.001526929483620211
"('them', 'alter')",0.00013883104262113008,them,alter,0.00277623542476402,0.001110494169905608
"('ye', 'be')",0.00013883104262113008,ye,be,0.001249305941143809,0.019988895058300944
"('adverſaries', 'and')",0.00013883104262113008,adverſaries,and,0.000138811771238201,0.04525263742365353
"('were', 'ſome')",0.00013883104262113008,were,ſome,0.003053858967240422,0.003192670738478623
"('in', 'conjunction')",0.00027766208524226016,in,conjunction,0.016102165463631316,0.000277623542476402
"('as', 'they')",0.00041649312786339027,as,they,0.013742365352581899,0.004580788450860633
"('and', 'told')",0.00013883104262113008,and,told,0.04525263742365353,0.000416435313714603
"('particular', 'favours')",0.00013883104262113008,particular,favours,0.00138811771238201,0.000277623542476402
"('reſpect', 'to')",0.00027766208524226016,reſpect,to,0.000277623542476402,0.03678511937812327
"('here', 'ſo')",0.00013883104262113008,here,ſo,0.000694058856191005,0.004858411993337035
"('angels', 'and')",0.00013883104262113008,angels,and,0.000138811771238201,0.04525263742365353
"('mind', 'of')",0.00013883104262113008,mind,of,0.000555247084952804,0.04094947251526929
"('that', 'as')",0.00041649312786339027,that,as,0.02373681288173237,0.013742365352581899
"('to', 'them')",0.00027766208524226016,to,them,0.03678511937812327,0.00277623542476402
"('unleſs', 'we')",0.00027766208524226016,unleſs,we,0.000277623542476402,0.00694058856191005
"('obey', 'my')",0.00013883104262113008,obey,my,0.000416435313714603,0.000277623542476402
"('ſpecial', 'caſe')",0.00013883104262113008,ſpecial,caſe,0.000832870627429206,0.000971682398667407
"('juſt', 'mentioned')",0.00013883104262113008,juſt,mentioned,0.000416435313714603,0.000138811771238201
"('to', 'others')",0.00013883104262113008,to,others,0.03678511937812327,0.000555247084952804
"('be', 'applicable')",0.00013883104262113008,be,applicable,0.019988895058300944,0.000138811771238201
"('life', 'was')",0.00013883104262113008,life,was,0.000971682398667407,0.007079400333148251
"('pretended', 'not')",0.00013883104262113008,pretended,not,0.000971682398667407,0.006801776790671849
"('ſuſpicious', 'when')",0.00013883104262113008,ſuſpicious,when,0.000277623542476402,0.004858411993337035
"('are', 'equally')",0.00013883104262113008,are,equally,0.006524153248195447,0.000138811771238201
"('nature', 'when')",0.00013883104262113008,nature,when,0.002082176568573015,0.004858411993337035
"('waxeth', 'old')",0.00013883104262113008,waxeth,old,0.000138811771238201,0.000416435313714603
"('all', 'creatures')",0.00013883104262113008,all,creatures,0.005830094392004442,0.000138811771238201
"('adding', 'to')",0.00013883104262113008,adding,to,0.000138811771238201,0.03678511937812327
"('required', 'of')",0.00013883104262113008,required,of,0.000277623542476402,0.04094947251526929
"('place', 'there')",0.00013883104262113008,place,there,0.001110494169905608,0.009439200444197668
"('whole', 'and')",0.00027766208524226016,whole,and,0.000416435313714603,0.04525263742365353
"('what', 'other')",0.00013883104262113008,what,other,0.004719600222098834,0.003192670738478623
"('will', 'this')",0.00013883104262113008,will,this,0.003331482509716824,0.006524153248195447
"('but', 'this')",0.00027766208524226016,but,this,0.00694058856191005,0.006524153248195447
"('to', 'walk')",0.00013883104262113008,to,walk,0.03678511937812327,0.000138811771238201
"('72', 'think')",0.00013883104262113008,72,think,0.000138811771238201,0.000832870627429206
"('the', 'gentiles')",0.00013883104262113008,the,gentiles,0.057884508606329814,0.000138811771238201
"('the', 'cuſtoms')",0.00013883104262113008,the,cuſtoms,0.057884508606329814,0.000138811771238201
"('a', 'two')",0.00013883104262113008,a,two,0.018184342032204332,0.000694058856191005
"('4', 'ye')",0.00013883104262113008,4,ye,0.001110494169905608,0.001249305941143809
"('common', 'principles')",0.00013883104262113008,common,principles,0.000416435313714603,0.000694058856191005
"('others', 'that')",0.00013883104262113008,others,that,0.000555247084952804,0.02373681288173237
"('of', 'hypocriſy')",0.00013883104262113008,of,hypocriſy,0.04094947251526929,0.000138811771238201
"('st', 'paul')",0.00027766208524226016,st,paul,0.000694058856191005,0.000416435313714603
"('laws', 'whether')",0.00013883104262113008,laws,whether,0.000971682398667407,0.001249305941143809
"('effect', 'to')",0.00013883104262113008,effect,to,0.000277623542476402,0.03678511937812327
"('council', 'of')",0.00013883104262113008,council,of,0.000138811771238201,0.04094947251526929
"('and', 'animal')",0.00013883104262113008,and,animal,0.04525263742365353,0.000138811771238201
"('1200', 'and')",0.00013883104262113008,1200,and,0.000138811771238201,0.04525263742365353
